Date,Token,Threshold,Gini Coefficient
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0.0,0.9951691196857193
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1e-08,0.9916397860304649
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1.2631335639768367e-08,0.9912868973814041
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1.595506400444829e-08,0.9910458391407972
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2.0153376859417352e-08,0.9907468777326562
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2.545640673860415e-08,0.990422766723416
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3.215484176977702e-08,0.9901080040449717
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4.0615859883769794e-08,0.9898073496234868
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5.130325584897008e-08,0.9893970002319389
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,6.480286440412508e-08,0.9891123811887997
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,8.185467307069021e-08,0.9888573835673558
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1.0339338492393995e-07,0.9883330899612641
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1.3059965479060547e-07,0.9880683343525685
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1.6496480740980207e-07,0.9878677925749827
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2.0837258511429578e-07,0.9876729848619192
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2.6320240607048777e-07,0.9876410165245166
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3.324597932270945e-07,0.9877955682390905
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4.199411234979421e-07,0.9874255455275484
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5.304417279843926e-07,0.9856546316886685
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,6.700187503509591e-07,0.9841800088980126
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,8.463231720621151e-07,0.9819302097880104
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1.0690192046030011e-06,0.9790964718074685
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1.3503140378698721e-06,0.9762756859445297
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1.7056269831425285e-06,0.9731265016232181
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2.1544346900318865e-06,0.9688295534275617
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2.7213387683753086e-06,0.9647088341396307
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3.4374143372862393e-06,0.9594619084949807
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4.341913422721453e-06,0.9546155891909687
2021-01-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5.484416576121026e-06,0.9477514767086604
